"접종일","접종대상자","당일 1차접종자 수","1차접종 누계","1차접종률(%)","당일 2차접종자 수","2차접종 누계","2차접종률(%)","당일 3차접종자 수","3차접종 누계","3차접종률(%)","3차접종대상자","당일 4차접종자 수","4차접종 누계","4차접종률(%)"
"2021.06.15","3391964","122487","2437954","71.9","37687","627708","18.5","","","","","","",""
"2021.06.14","3371856","145519","2309534","68.5","52848","589320","17.5","","","","","","",""
"2021.06.13","3364373","5702","2163259","64.3","2522","535930","15.9","","","","","","",""
"2021.06.12","3364288","82931","2157602","64.1","28724","533379","15.9","","","","","","",""
"2021.06.11","3353331","165265","2070561","61.7","55544","504526","15.0","","","","","","",""
"2021.06.10","3338670","148732","1900981","56.9","68440","448684","13.4","","","","","","",""
"2021.06.09","3102614","104841","1746392","56.2","3076","380200","12.3","","","","","","",""
"2021.06.08","3034302","131465","1636992","53.9","4672","377030","12.4","","","","","","",""
"2021.06.07","3018205","158842","1500832","49.7","5412","372339","12.3","","","","","","",""
"2021.06.06","2286469","463","1341990","58.7","0","366927","16.0","","","","","","",""
"2021.06.05","2282866","31613","1341398","58.8","1135","366926","16.1","","","","","","",""
"2021.06.04","2275616","76685","1309610","57.5","10339","365789","16.1","","","","","","",""
"2021.06.03","2265073","66402","1232478","54.4","8383","355399","15.7","","","","","","",""
"2021.06.02","2249314","73063","1165736","51.8","6277","346936","15.4","","","","","","",""
"2021.06.01","2231513","103600","1092306","48.9","7109","340624","15.3","","","","","","",""
"2021.05.31","2215425","75387","988327","44.6","8127","333469","15.1","","","","","","",""
"2021.05.30","2195709","950","912517","41.6","0","325079","14.8","","","","","","",""
"2021.05.29","2196518","33401","911559","41.5","3580","325079","14.8","","","","","","",""
"2021.05.28","2188641","104641","877710","40.1","17031","321446","14.7","","","","","","",""
"2021.05.27","2175217","122034","772541","35.5","13061","304336","14.0","","","","","","",""
"2021.05.26","1129593","10780","650432","57.6","16175","291118","25.8","","","","","","",""
"2021.05.25","1123393","7748","639483","56.9","21010","274749","24.5","","","","","","",""
"2021.05.24","1124159","7688","631695","56.2","21524","253528","22.6","","","","","","",""
"2021.05.23","1123388","0","623942","55.5","0","231821","20.6","","","","","","",""
"2021.05.22","1122778","2477","623941","55.6","4099","231820","20.6","","","","","","",""
"2021.05.21","1121838","2271","621463","55.4","28449","227493","20.3","","","","","","",""
"2021.05.20","1123023","2205","619017","55.1","22755","198625","17.7","","","","","","",""
"2021.05.19","1121981","14","616705","55.0","3724","175445","15.6","","","","","","",""
"2021.05.18","1120058","2983","616699","55.1","16649","171720","15.3","","","","","","",""
"2021.05.17","1122759","3197","613630","54.7","13074","154898","13.8","","","","","","",""
"2021.05.16","1119118","0","610403","54.5","0","141769","12.7","","","","","","",""
"2021.05.15","1118166","956","610338","54.6","3796","141769","12.7","","","","","","",""
"2021.05.14","1118491","3827","609382","54.1","12751","137973","11.2","","","","","","",""
"2021.05.13","1113909","3391","604185","54.2","12435","125220","11.2","","","","","","",""
"2021.05.12","1116796","2282","600548","53.8","13971","112781","10.1","","","","","","",""
"2021.05.11","1114297","2796","598266","53.7","13030","98810","8.9","","","","","","",""
"2021.05.10","1113580","3131","594975","53.4","12457","85775","7.7","","","","","","",""
"2021.05.09","1113434","0","591040","53.1","0","73295","6.6","","","","","","",""
"2021.05.08","1112095","2801","589744","53.0","1789","73003","6.6","","","","","","",""
"2021.05.07","1119900","17490","592073","52.9","11219","70926","6.3","","","","","","",""
"2021.05.06","1108162","11021","574583","51.9","11715","59707","5.4","","","","","","",""
"2021.05.05","1106344","1788","563044","50.9","1650","47940","4.3","","","","","","",""
"2021.05.04","1104738","18942","559605","50.6","4665","46290","4.1","","","","","","",""
"2021.05.03","1102593","19795","540404","49.0","5033","41624","3.8","","","","","","",""
"2021.05.02","1101302","82","520200","47.2","0","36591","3.3","","","","","","",""
"2021.05.01","1100067","8683","519845","47.2","691","36591","3.3","","","","","","",""
"2021.04.30","1096899","38789","511162","46.6","4280","35900","3.3","","","","","","",""
"2021.04.29","1084245","33484","472376","43.6","3921","31620","2.9","","","","","","",""
"2021.04.28","1088155","31795","438269","40.2","2062","27699","2.5","","","","","","",""
"2021.04.27","1080433","23973","403093","37.3","3721","25631","2.4","","","","","","",""
"2021.04.26","1079832","23323","379120","35.1","3411","21910","2","","","","","","",""
"2021.04.25","1023346","204","350631","34.2","0","18513","1.8","","","","","","",""
"2021.04.24","1023346","4663","350427","34.2","137","18513","1.8","","","","","","",""
"2021.04.23","1027740","28378","345764","33.6","2475","18376","1.8","","","","","","",""
"2021.04.22","1023538","22831","317386","31.0","2358","15901","1.6","","","","","","",""
"2021.04.21","1019322","20830","291857","28.6","25","13543","1.3","","","","","","",""
