date,new_cases,new_deaths,people_vaccinated,people_fully_vaccinated
316,540,3,0,0
317,629,7,0,0
318,583,4,0,0
319,631,5,0,0
320,615,4,0,0
321,594,3,0,0
322,677,4,0,0
323,666,8,0,0
324,688,8,0,0
325,950,6,0,0
326,1030,2,0,0
327,718,7,0,0
328,880,13,0,0
329,1078,12,0,0
330,1011,22,0,0
331,1062,11,0,0
332,1055,14,0,0
333,1095,15,0,0
334,926,24,0,0
335,869,24,0,0
336,1090,17,0,0
337,983,17,0,0
338,1237,17,0,0
339,1132,20,0,0
340,970,15,0,0
341,808,11,0,0
342,1045,40,0,0
343,1048,20,0,0
344,967,21,0,0
345,1029,17,0,0
346,824,25,0,0
347,651,20,0,0
348,1020,19,0,0
349,715,26,0,0
350,839,20,0,0
351,868,19,0,0
352,672,35,0,0
353,641,19,0,0
354,665,25,0,0
355,450,15,0,0
356,537,25,0,0
357,561,20,0,0
358,516,10,0,0
359,513,22,0,0
360,579,19,0,0
361,520,13,0,0
362,389,15,0,0
363,386,19,0,0
364,403,17,0,0
365,400,16,0,0
366,344,12,0,0
367,430,9,0,0
368,392,12,0,0
369,437,11,0,0
370,354,11,0,0
371,554,7,0,0
372,497,8,0,0
373,469,13,0,0
374,455,15,0,0
375,355,6,0,0
376,303,5,0,0
377,336,10,0,0
378,467,6,0,0
379,451,7,0,0
380,369,11,0,0
381,393,5,0,0
382,372,7,0,0
383,289,3,0,0
384,302,8,0,0
385,443,4,0,0
386,504,10,0,0
387,403,11,0,0
388,362,7,0,0
389,326,8,0,0
390,344,5,0,0
391,456,7,0,0
392,621,4,0,0
393,621,6,0,0
394,561,6,0,0
395,446,3,0,0
396,418,4,0,0
397,332,5,0,0
398,357,11,0,0
399,439,3,0,0
400,396,5,0,0
401,406,4,0,0
402,399,10,20307,0
403,355,8,1424,0
404,355,2,864,0
405,341,1,1475,0
406,444,6,66414,0
407,424,7,69436,0
408,398,8,70339,0
409,417,5,70458,0
410,416,2,18008,0
411,346,8,2075,0
412,446,3,67427,0
413,470,3,63374,0
414,465,4,54015,0
415,488,10,44443,0
416,490,5,38090,0
417,459,2,3835,0
418,382,6,1170,0
419,363,3,12452,0
420,469,8,18828,0
421,445,2,19784,0
422,463,2,19281,0
423,452,3,16803,0
424,456,3,1235,313
425,410,1,0,280
426,346,7,3670,290
427,425,3,21763,615
428,430,2,30506,1194
429,494,7,34403,1142
430,505,5,24767,1399
